"Product ID",Reference,"Name EN","Active (0=No, 1=Yes)","Short Description EN","Long Description EN","Meta Title EN","Meta Description EN","Friendly URL EN","Price Tax Exc","Price Tax Inc","Discount Percent","Discount Amount","Tax Rule",Quantity,"Minimal Quantity","Brand (Manufacturer)",Suppliers,"Supplier References","Supplier Prices","Default Category","Categories (x,y,z...)","Cover Image URL","Image URLs (x,y,z...)","Image Captions (x,y,z...)","Features (Name:Value:Position)","Attachments (x,y,z...)","Product URL",Visibility,"Available for order (0=No, 1=Yes)","Show Price (0=No, 1=Yes)","On Sale (0=No, 1=Yes)",Condition,EAN13,UPC,ISBN,MPN,Width,Height,Depth,Weight,"Action when out of stock"
1,demo_1,"Hummingbird printed t-shirt",1,"<p>Regular fit, round neckline, short sleeves. Made of extra long staple pima cotton. </p>
<p></p>","<p>Symbol of lightness and delicacy, the hummingbird evokes curiosity and joy. Studio Design' PolyFaune collection features classic products with colorful patterns, inspired by the traditional japanese origamis. To wear with a chino or jeans. The sublimation textile printing process provides an exceptional color rendering and a color, guaranteed overtime.</p>","Hummingbird printed t-shirt","Regular fit, round neckline, short sleeves. Made of extra long staple pima cotton. 
",hummingbird-printed-t-shirt,23.9,23.9,20%,4.78,"US-FL Rate (6%)",2400,1,"Studio Design","Fashion supplier",demo_1_46,5.490000,Men,Clothes|Men,https://prestashop.elegantal.com/1/hummingbird-printed-t-shirt.jpg,https://prestashop.elegantal.com/1/hummingbird-printed-t-shirt.jpg|https://prestashop.elegantal.com/2/hummingbird-printed-t-shirt.jpg,"Hummingbird printed t-shirt|Hummingbird printed t-shirt","Composition:Cotton|Property:Short sleeves",,https://prestashop.elegantal.com/en/1-hummingbird-printed-t-shirt.html,both,1,1,0,new,,,,,0.000000,0.000000,0.000000,0.300000,2
2,demo_3,"Hummingbird printed sweater",1,"<p>Regular fit, round neckline, long sleeves. 100% cotton, brushed inner side for extra comfort. </p>","<p>Studio Design' PolyFaune collection features classic products with colorful patterns, inspired by the traditional japanese origamis. To wear with a chino or jeans. The sublimation textile printing process provides an exceptional color rendering and a color, guaranteed overtime.</p>","Hummingbird printed sweater","Regular fit, round neckline, long sleeves. 100% cotton, brushed inner side for extra comfort. ",hummingbird-printed-sweater,35.9,35.9,20%,7.18,"US-FL Rate (6%)",2100,1,"Studio Design","Fashion supplier",demo_3_62,5.490000,Women,Clothes|Women,https://prestashop.elegantal.com/21/hummingbird-printed-sweater.jpg,https://prestashop.elegantal.com/21/hummingbird-printed-sweater.jpg,"Brown bear printed sweater","Composition:Cotton|Property:Long sleeves",,https://prestashop.elegantal.com/en/2-hummingbird-printed-sweater.html,both,1,1,0,new,,,,,0.000000,0.000000,0.000000,0.300000,2
3,demo_6,"The best is yet to come' Framed poster",1,"<p>Printed on rigid matt paper and smooth surface.</p>","<p>The best is yet to come! Give your walls a voice with a framed poster. This aesthethic, optimistic poster will look great in your desk or in an open-space office. Painted wooden frame with passe-partout for more depth.</p>","The best is yet to come' Framed poster","Printed on rigid matt paper and smooth surface.",the-best-is-yet-to-come-framed-poster,29,29,,,"US-FL Rate (6%)",1500,1,"Graphic Corner","Fashion supplier|Accessories supplier",demo_6_70|demo_6_70,5.490000|2.490000,Art,Art,https://prestashop.elegantal.com/3/the-best-is-yet-to-come-framed-poster.jpg,https://prestashop.elegantal.com/3/the-best-is-yet-to-come-framed-poster.jpg,"The best is yet to come' Framed poster","Composition:Matt paper",,https://prestashop.elegantal.com/en/3-the-best-is-yet-to-come-framed-poster.html,both,1,1,0,new,,,,,0.000000,0.000000,0.000000,0.300000,2
4,demo_5,"The adventure begins Framed poster",1,"<p>Printed on rigid matt finish and smooth surface.</p>","<p>The best is yet to come! Give your walls a voice with a framed poster. This aesthethic, optimistic poster will look great in your desk or in an open-space office. Painted wooden frame with passe-partout for more depth.</p>","The adventure begins Framed poster","Printed on rigid matt finish and smooth surface.",the-adventure-begins-framed-poster,29,29,,,"US-FL Rate (6%)",1500,1,"Graphic Corner","Fashion supplier|Accessories supplier",demo_5_73|demo_5_73,5.490000|2.490000,Art,Art,https://prestashop.elegantal.com/4/the-adventure-begins-framed-poster.jpg,https://prestashop.elegantal.com/4/the-adventure-begins-framed-poster.jpg,"The adventure begins Framed poster","Composition:Matt paper",,https://prestashop.elegantal.com/en/4-the-adventure-begins-framed-poster.html,both,1,1,0,new,,,,,0.000000,0.000000,0.000000,0.300000,2
5,demo_7,"Today is a good day Framed poster",1,"<p>Printed on rigid paper with matt finish and smooth surface.</p>","<p>The best is yet to come! Give your walls a voice with a framed poster. This aesthethic, optimistic poster will look great in your desk or in an open-space office. Painted wooden frame with passe-partout for more depth.</p>","Today is a good day Framed poster","Printed on rigid paper with matt finish and smooth surface.",today-is-a-good-day-framed-poster,29,29,,,"US-FL Rate (6%)",900,1,"Graphic Corner","Fashion supplier|Accessories supplier",demo_5_76|demo_5_76,5.490000|2.490000,Art,Art,https://prestashop.elegantal.com/5/today-is-a-good-day-framed-poster.jpg,https://prestashop.elegantal.com/5/today-is-a-good-day-framed-poster.jpg,"Today is a good day Framed poster","Composition:Matt paper",,https://prestashop.elegantal.com/en/5-today-is-a-good-day-framed-poster.html,both,1,1,0,new,,,,,0.000000,0.000000,0.000000,0.300000,2
6,demo_11,"Mug The best is yet to come",1,"<p>White Ceramic Mug, 325ml.</p>","<p>The best is yet to come! Start the day off right with a positive thought. 8,2cm diameter / 9,5cm height / 0.43kg. Dishwasher-proof.</p>","Mug The best is yet to come","White Ceramic Mug, 325ml.",mug-the-best-is-yet-to-come,11.9,11.9,,,"US-FL Rate (6%)",300,1,"Studio Design","Accessories supplier",demo_11,5.490000,"Home Accessories","Accessories|Home Accessories",https://prestashop.elegantal.com/6/mug-the-best-is-yet-to-come.jpg,https://prestashop.elegantal.com/6/mug-the-best-is-yet-to-come.jpg,"Mug The best is yet to come",Composition:Ceramic,,https://prestashop.elegantal.com/en/6-mug-the-best-is-yet-to-come.html,both,1,1,0,new,,,,,0.000000,0.000000,0.000000,0.300000,2
7,demo_12,"Mug The adventure begins",1,"<p>White Ceramic Mug. 325ml</p>","<p>The adventure begins with a cup of coffee. Set out to conquer the day! 8,2cm diameter / 9,5cm height / 0.43kg. Dishwasher-proof.</p>","Mug The adventure begins","White Ceramic Mug. 325ml",mug-the-adventure-begins,11.9,11.9,,,"US-FL Rate (6%)",300,1,"Studio Design","Accessories supplier",demo_12,5.490000,"Home Accessories","Accessories|Home Accessories",https://prestashop.elegantal.com/7/mug-the-adventure-begins.jpg,https://prestashop.elegantal.com/7/mug-the-adventure-begins.jpg,"Mug The adventure begins",Composition:Ceramic,,https://prestashop.elegantal.com/en/7-mug-the-adventure-begins.html,both,1,1,0,new,,,,,0.000000,0.000000,0.000000,0.300000,2
8,demo_13,"Mug Today is a good day",1,"<p>White Ceramic Mug. 325ml</p>","<p>Add an optimistic touch to your morning coffee and start the day in a good mood! 8,2cm diameter / 9,5cm height / 0.43kg. Dishwasher-proof.</p>","Mug Today is a good day","White Ceramic Mug. 325ml",mug-today-is-a-good-day,11.9,11.9,,,"US-FL Rate (6%)",300,1,"Studio Design","Accessories supplier",demo_13,5.490000,"Home Accessories","Accessories|Home Accessories",https://prestashop.elegantal.com/8/mug-today-is-a-good-day.jpg,https://prestashop.elegantal.com/8/mug-today-is-a-good-day.jpg,"Mug Today is a good day",Composition:Ceramic,,https://prestashop.elegantal.com/en/8-mug-today-is-a-good-day.html,both,1,1,0,new,,,,,0.000000,0.000000,0.000000,0.300000,2
9,demo_15,"Mountain fox cushion",1,"<p>Cushion with removable cover and invisible zip on the back. 32x32cm</p>","<p>The mountain fox cushion will add a graphic and colorful touch to your sofa, armchair or bed. Create a modern and zen atmosphere that inspires relaxation. Cover 100% cotton, machine washable at 60° / Filling 100% hypoallergenic polyester.</p>","Mountain fox cushion","Cushion with removable cover and invisible zip on the back. 32x32cm",mountain-fox-cushion,18.9,18.9,,,"US-FL Rate (6%)",600,1,"Studio Design","Accessories supplier",demo_15_79,5.490000,"Home Accessories","Accessories|Home Accessories",https://prestashop.elegantal.com/9/mountain-fox-cushion.jpg,https://prestashop.elegantal.com/9/mountain-fox-cushion.jpg|https://prestashop.elegantal.com/10/mountain-fox-cushion.jpg,"Mountain fox cushion|Mountain fox cushion","Composition:Polyester|Property:Removable cover",,https://prestashop.elegantal.com/en/9-mountain-fox-cushion.html,both,1,1,0,new,,,,,0.000000,0.000000,0.000000,0.300000,2
10,demo_16,"Brown bear cushion",1,"<p>Cushion with removable cover and invisible zip on the back. 32x32cm</p>","<p>The brown bear cushion will add a graphic and colorful touch to your sofa, armchair or bed. Create a modern and zen atmosphere that inspires relaxation. Cover 100% cotton, machine washable at 60° / Filling 100% hypoallergenic polyester.</p>","Brown bear cushion","Cushion with removable cover and invisible zip on the back. 32x32cm",brown-bear-cushion,18.9,18.9,,,"US-FL Rate (6%)",600,1,"Studio Design","Accessories supplier",demo_16_81,5.490000,"Home Accessories","Accessories|Home Accessories",https://prestashop.elegantal.com/11/brown-bear-cushion.jpg,https://prestashop.elegantal.com/11/brown-bear-cushion.jpg|https://prestashop.elegantal.com/12/brown-bear-cushion.jpg,"Brown bear cushion|Brown bear cushion","Composition:Polyester|Property:Removable cover",,https://prestashop.elegantal.com/en/10-brown-bear-cushion.html,both,1,1,0,new,,,,,0.000000,0.000000,0.000000,0.300000,2
